Rank,Title,Rating,Episodes,Dates
147,ReLIFE,7.97,TV (13 eps),Jul 2016 - Sep 2016
148,Dragon Ball,7.96,TV (153 eps),Feb 1986 - Apr 1989
149,Date A Live,7.15,TV (12 eps),Apr 2013 - Jun 2013
150,Sono Bisque Doll wa Koi wo Suru,8.21,TV (12 eps),Jan 2022 - Mar 2022
Rank,Title,Rating,Episodes,Dates
151,Dr. Stone: Stone Wars,8.17,TV (11 eps),Jan 2021 - Mar 2021
152,Overlord II,7.76,TV (13 eps),Jan 2018 - Apr 2018
153,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,TV (39 eps),Oct 2018 - Jul 2019
154,Prison School,7.60,TV (12 eps),Jul 2015 - Sep 2015
155,Black Lagoon,8.03,TV (12 eps),Apr 2006 - Jun 2006
156,Fairy Tail (2014),7.65,TV (102 eps),Apr 2014 - Mar 2016
157,Tenki no Ko,8.28,Movie (1 eps),Jul 2019 - Jul 2019
158,Wotaku ni Koi wa Muzukashii,7.94,TV (11 eps),Apr 2018 - Jun 2018
159,Kanojo, Okarishimasu,7.01,TV (12 eps),Jul 2020 - Sep 2020
160,Shokugeki no Souma: San no Sara,8.00,TV (12 eps),Oct 2017 - Dec 2017
161,Kimi no Suizou wo Tabetai,8.55,Movie (1 eps),Sep 2018 - Sep 2018
162,Darker than Black: Kuro no Keiyakusha,8.06,TV (25 eps),Apr 2007 - Sep 2007
163,Rakudai Kishi no Cavalry,7.44,TV (12 eps),Oct 2015 - Dec 2015
164,Fate/stay night,7.28,TV (24 eps),Jan 2006 - Jun 2006
165,Byousoku 5 Centimeter,7.57,Movie (3 eps),Mar 2007 - Mar 2007
166,Plastic Memories,7.91,TV (13 eps),Apr 2015 - Jun 2015
167,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,7.21,TV (13 eps),Jul 2013 - Sep 2013
168,5-toubun no Hanayome,7.65,TV (12 eps),Jan 2019 - Mar 2019
169,Kimi ni Todoke,8.01,TV (25 eps),Oct 2009 - Mar 2010
170,Tensei shitara Slime Datta Ken 2nd Season,8.38,TV (12 eps),Jan 2021 - Mar 2021
171,Gekkan Shoujo Nozaki-kun,7.83,TV (12 eps),Jul 2014 - Sep 2014
172,Hellsing Ultimate,8.35,OVA (10 eps),Feb 2006 - Dec 2012
173,Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni,8.55,Movie (1 eps),Jul 1997 - Jul 1997
174,Haikyuu!! To the Top,8.36,TV (13 eps),Jan 2020 - Apr 2020
175,Ao Haru Ride,7.64,TV (12 eps),Jul 2014 - Sep 2014
176,Mahoutsukai no Yome,8.06,TV (24 eps),Oct 2017 - Mar 2018
177,Black Bullet,7.09,TV (13 eps),Apr 2014 - Jul 2014
178,Yakusoku no Neverland 2nd Season,5.28,TV (11 eps),Jan 2021 - Mar 2021
179,Suzumiya Haruhi no Yuuutsu,7.83,TV (14 eps),Apr 2006 - Jul 2006
180,Kami no Tou,7.55,TV (13 eps),Apr 2020 - Jun 2020
181,High School DxD New,7.48,TV (12 eps),Jul 2013 - Sep 2013
182,Youjo Senki,7.96,TV (12 eps),Jan 2017 - Mar 2017
183,Baccano!,8.36,TV (13 eps),Jul 2007 - Nov 2007
184,The God of High School,7.07,TV (13 eps),Jul 2020 - Sep 2020
185,Kaguya-sama wa Kokurasetai: Ultra Romantic,9.02,TV (13 eps),Apr 2022 - Jun 2022
186,Overlord III,7.92,TV (13 eps),Jul 2018 - Oct 2018
187,Nichijou,8.46,TV (26 eps),Apr 2011 - Sep 2011
188,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.68,TV (12 eps),Oct 2021 - Dec 2021
189,Yuri!!! on Ice,7.90,TV (12 eps),Oct 2016 - Dec 2016
190,Masamune-kun no Revenge,6.75,TV (12 eps),Jan 2017 - Mar 2017
191,Jujutsu Kaisen 0 Movie,8.46,Movie (1 eps),Dec 2021 - Dec 2021
192,Spy x Family Part 2,8.28,TV (13 eps),Oct 2022 - Dec 2022
193,Tokyo Ghoul:re 2nd Season,6.44,TV (12 eps),Oct 2018 - Dec 2018
194,Kekkai Sensen,7.60,TV (12 eps),Apr 2015 - Oct 2015
